term,description,class_number,language
table cutlery,"The relationship between Class 8 and Cl. 21 is sometimes problematic as it may be difficult to decide whether certain goods should be considered to be a hand tool in Class 8 or a kitchen or household utensil in Cl. 21. Table cutlery and knives are in Class 8, whereas Cl. 21 includes serving utensils and certain kitchen tools, such as serving forks and spoons, corkscrews, nutcrackers, pie servers and sugar tongs.",8,en
knives,"The relationship between Class 8 and Cl. 21 is sometimes problematic as it may be difficult to decide whether certain goods should be considered to be a hand tool in Class 8 or a kitchen or household utensil in Cl. 21. Table cutlery and knives are in Class 8, whereas Cl. 21 includes serving utensils and certain kitchen tools, such as serving forks and spoons, corkscrews, nutcrackers, pie servers and sugar tongs.",8,en
serving forks,"The relationship between Class 8 and Cl. 21 is sometimes problematic as it may be difficult to decide whether certain goods should be considered to be a hand tool in Class 8 or a kitchen or household utensil in Cl. 21. Table cutlery and knives are in Class 8, whereas Cl. 21 includes serving utensils and certain kitchen tools, such as serving forks and spoons, corkscrews, nutcrackers, pie servers and sugar tongs.",21,en
serving spoons,"The relationship between Class 8 and Cl. 21 is sometimes problematic as it may be difficult to decide whether certain goods should be considered to be a hand tool in Class 8 or a kitchen or household utensil in Cl. 21. Table cutlery and knives are in Class 8, whereas Cl. 21 includes serving utensils and certain kitchen tools, such as serving forks and spoons, corkscrews, nutcrackers, pie servers and sugar tongs.",21,en
corkscrews,"The relationship between Class 8 and Cl. 21 is sometimes problematic as it may be difficult to decide whether certain goods should be considered to be a hand tool in Class 8 or a kitchen or household utensil in Cl. 21. Table cutlery and knives are in Class 8, whereas Cl. 21 includes serving utensils and certain kitchen tools, such as serving forks and spoons, corkscrews, nutcrackers, pie servers and sugar tongs.",21,en
nutcrackers,"The relationship between Class 8 and Cl. 21 is sometimes problematic as it may be difficult to decide whether certain goods should be considered to be a hand tool in Class 8 or a kitchen or household utensil in Cl. 21. Table cutlery and knives are in Class 8, whereas Cl. 21 includes serving utensils and certain kitchen tools, such as serving forks and spoons, corkscrews, nutcrackers, pie servers and sugar tongs.",21,en
pie servers,"The relationship between Class 8 and Cl. 21 is sometimes problematic as it may be difficult to decide whether certain goods should be considered to be a hand tool in Class 8 or a kitchen or household utensil in Cl. 21. Table cutlery and knives are in Class 8, whereas Cl. 21 includes serving utensils and certain kitchen tools, such as serving forks and spoons, corkscrews, nutcrackers, pie servers and sugar tongs.",21,en
sugar tongs,"The relationship between Class 8 and Cl. 21 is sometimes problematic as it may be difficult to decide whether certain goods should be considered to be a hand tool in Class 8 or a kitchen or household utensil in Cl. 21. Table cutlery and knives are in Class 8, whereas Cl. 21 includes serving utensils and certain kitchen tools, such as serving forks and spoons, corkscrews, nutcrackers, pie servers and sugar tongs.",21,en
fruit corers,"Other tools used in the kitchen do belong to Class 8, however, because of their cutting nature, including fruit corers and kitchen mandolines, as well as non-electric cheese slicers, pizza cutters and tin openers.",8,en
kitchen mandolines,"Other tools used in the kitchen do belong to Class 8, however, because of their cutting nature, including fruit corers and kitchen mandolines, as well as non-electric cheese slicers, pizza cutters and tin openers.",8,en
non-electric cheese slicers,"Other tools used in the kitchen do belong to Class 8, however, because of their cutting nature, including fruit corers and kitchen mandolines, as well as non-electric cheese slicers, pizza cutters and tin openers.",8,en
pizza cutters,"Other tools used in the kitchen do belong to Class 8, however, because of their cutting nature, including fruit corers and kitchen mandolines, as well as non-electric cheese slicers, pizza cutters and tin openers.",8,en
tin openers,"Other tools used in the kitchen do belong to Class 8, however, because of their cutting nature, including fruit corers and kitchen mandolines, as well as non-electric cheese slicers, pizza cutters and tin openers.",8,en
electric knives,"Similar goods when powered by electricity would belong to Cl. 7, like electric knives and electric tin openers.",7,en
electric tin openers,"Similar goods when powered by electricity would belong to Cl. 7, like electric knives and electric tin openers.",7,en
scissors,"The term ""cutlery"" in the Class Heading justifies the inclusion in Class 8 of hand-operated cutting tools, such as knives and scissors.",8,en
scalpels,"Certain specialized cutting instruments, however, are classified in other classes, for example, scalpels and pill cutters in Cl. 10 and paper cutters in Cl. 16.",10,en
pill cutters,"Certain specialized cutting instruments, however, are classified in other classes, for example, scalpels and pill cutters in Cl. 10 and paper cutters in Cl. 16.",10,en
paper cutters,"Certain specialized cutting instruments, however, are classified in other classes, for example, scalpels and pill cutters in Cl. 10 and paper cutters in Cl. 16.",16,en
forks for eating,"It should be noted that the term ""cutlery"" in the Classification also refers to knives, forks and spoons for eating (the term has been translated into French as ""coutellerie, fourchettes et cuillers"" because ""coutellerie"" refers only to knives and other cutting instruments).",8,en
spoons for eating,"It should be noted that the term ""cutlery"" in the Classification also refers to knives, forks and spoons for eating (the term has been translated into French as ""coutellerie, fourchettes et cuillers"" because ""coutellerie"" refers only to knives and other cutting instruments).",8,en
side arms,"Class 8 is also the correct class for side arms, with the exception of firearms which belong to Cl. 13.",8,en
firearms,"Class 8 is also the correct class for side arms, with the exception of firearms which belong to Cl. 13.",13,en
bladed weapons,"Thus, Class 8 is home to bladed weapons, such as bayonets and swords.",8,en
bayonets,"Thus, Class 8 is home to bladed weapons, such as bayonets and swords.",8,en
swords,"Thus, Class 8 is home to bladed weapons, such as bayonets and swords.",8,en
fencing weapons,"However, such goods can belong to Cl. 28 when they are used for sports, for example, fencing weapons.",28,en
